"id","alt_label","definition","identifier","notation","pref_label","uri"
"5815","C-peptide/Creatinine","A relative measurement (ratio or percentage) of the C-peptide to creatinine in a biological specimen.","C150837","CPEPCRT","C-peptide to Creatinine Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C150837"
"5816","C-peptide","A measurement of the C (connecting) peptide of insulin in a biological specimen.","C74736","CPEPTIDE","C-peptide Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74736"
"5817","Carbamazepine","A measurement of the carbamazepine in a biological specimen.","C147322","CRBMZPN","Carbamazepine Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147322"
"5818","Cardiolipin IgA Antibody","A measurement of the cardiolipin IgA antibody in a biological specimen.","C122112","CRDIGAAB","Cardiolipin IgA Antibody Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C122112"
"5819","Anti-Cardiolipin IgG Antibody;Cardiolipin IgG Antibody","A measurement of the cardiolipin IgG antibody in a biological specimen.","C111144","CRDIGGAB","Cardiolipin IgG Antibody Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C111144"
"5820","Cardiolipin IgM Antibody","A measurement of the cardiolipin IgM antibodies in a biological specimen.","C103363","CRDIGMAB","Cardiolipin IgM Antibody Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C103363"
"5821","Creatinine","A measurement of the creatinine in a biological specimen.","C64547","CREAT","Creatinine Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C64547"
"5822","Creatinine Clearance","A measurement of the volume of serum or plasma that would be cleared of creatinine by excretion of urine for a specified unit of time (e.g. one minute).","C25747","CREATCLR","Creatinine Clearance","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C25747"
"5823","Creatinine Excretion Rate","A measurement of the amount of creatinine being excreted in a biological specimen over a defined amount of time (e.g. one hour).","C150817","CREATEXR","Creatinine Excretion Rate","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C150817"
"5824","Crenated Cells","A measurement of the crenated cells in a biological specimen.","C74703","CRENCE","Crenated Cell Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74703"
"5825","Corticotropin Releasing Factor;Corticotropin Releasing Hormone","A measurement of the corticotropin releasing hormone in a biological specimen.","C74851","CRH","Corticotropin Releasing Hormone Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74851"
"5826","Caeruloplasmin;Ceruloplasmin","A measurement of ceruloplasmin in a biological specimen.","C100432","CRLPLSMN","Ceruloplasmin Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C100432"
"5827","Carnitine Esters","A measurement of the total carnitine esters in a biological specimen.","C147323","CRNTESTR","Carnitine Ester Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147323"
"5828","C Reactive Protein","A measurement of the C reactive protein in a biological specimen.","C64548","CRP","C-Reactive Protein Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C64548"
"5829","Carisoprodol","A measurement of the carisoprodol in a biological specimen.","C184611","CRSPRDL","Carisoprodol Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C184611"
"5830","Creatinine Clearance Adjusted for BSA","A measurement of the volume of serum or plasma that would be cleared of creatinine by excretion of urine for a specified unit of time (e.g. one minute), adjusted for body surface area.","C147324","CRTCLRBS","Creatinine Clearance Adjusted for BSA","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147324"
"5831","Creatinine Clearance, Estimated","An estimate of the volume of serum or plasma that would be cleared of creatinine by excretion of urine for a specified unit of time (e.g. one minute).","C150847","CRTCLRE","Estimated Creatinine Clearance","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C150847"
"5832","Corticosterone/Creatinine","A relative measurement (ratio or percentage) of the corticosterone to creatinine present in a sample.","C106511","CRTCREAT","Corticosterone to Creatinine Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C106511"
"5833","Cortisol, Free Excretion Rate","A measurement of the amount of free cortisol being excreted in a biological specimen over a defined amount of time (e.g. one hour).","C163427","CRTFREXR","Free Cortisol Excretion Rate","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C163427"
"5834","Corticosterone","A measurement of corticosterone in a biological specimen.","C79434","CRTRONE","Corticosterone Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C79434"
"5835","Cryoglobulin Volume/Serum Volume","A relative measurement (ratio or percentage) of the volume of cryoglobulin to total serum volume in a biological specimen.","C147325","CRYGLBSR","Cryoglobulin Volume to Serum Volume Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147325"
"5836","Cryofibrinogen","A measurement of the cryofibrinogen in a biological specimen.","C147326","CRYOFBRN","Cryofibrinogen Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147326"
"5837","Cryoglobulin","A measurement of cryoglobulin in a biological specimen.","C111164","CRYOGLBN","Cryoglobulin Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C111164"
"5838","Crystals","A statement that indicates crystals were looked for in a biological specimen.","C74673","CRYSTALS","Crystal Present Or Absent","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74673"
"5839","Cathepsin Antibody","A measurement of the total cathepsin antibody in a biological specimen.","C120634","CSAB","Cathepsin Antibody Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C120634"
"5840","Bacterial Casts","A measurement of the bacterial casts present in a biological specimen.","C74762","CSBACT","Bacterial Cast Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74762"
"5841","Broad Casts","A measurement of the broad casts in a biological specimen.","C96588","CSBROAD","Broad Casts Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C96588"
"5842","Cellular Casts","A measurement of the cellular (white blood cell, red blood cell, epithelial and bacterial) casts present in a biological specimen.","C74764","CSCELL","Cellular Cast Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74764"
"5843","Cylindroid Casts;Cylindroid Pseudocasts","A measurement of cylindroid casts (casts with a tapering end) in a biological specimen.","C150838","CSCYL","Cylindroid Cast Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C150838"
"5844","Epithelial Casts","A measurement of the epithelial cell casts present in a biological specimen.","C74779","CSEPI","Epithelial-Cast Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74779"
"5845","846-Epitope;Aggrecan Chondroitin Sulfate Epitope 846;Chondroitin Sulfate Epitope 846;Chondroitin Sulfate Proteoglycan 1 Epitope 846;CS846","A measurement of the 846 epitope present on the chondroitin sulfate chains of aggrecan in a biological specimen.","C112220","CSEPI846","Aggrecan Chondroitin Sulfate Epitope 846 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C112220"
"5846","Renal Epithelial Casts","A measurement of the renal epithelial cell casts in a biological specimen.","C174229","CSEPIR","Renal Epithelial Casts Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C174229"
"5847","Renal Tubular Epithelial Casts","A measurement of the renal tubular epithelial cell casts in a biological specimen.","C174292","CSEPIRT","Renal Tubular Epithelial Casts Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C174292"
"5848","Fatty Casts","A measurement of the fatty casts present in a biological specimen.","C74766","CSFAT","Fatty Cast Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74766"
"5849","CSF IgG Index;CSF Index;IgG Index","A relative measurement (ratio) of the IgG to albumin in cerebrospinal fluid to the IgG to albumin in serum.","C154735","CSFIGIDX","IgG Index","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C154735"
"5850","Granular Casts","A measurement of the granular (coarse and fine) casts present in a biological specimen.","C74768","CSGRAN","Granular Cast Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74768"
"5851","Granular Coarse Casts","A measurement of the coarse granular casts present in a biological specimen.","C74765","CSGRANC","Coarse Granular Cast Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74765"
"5852","Granular Fine Casts","A measurement of the fine granular casts present in a biological specimen.","C74769","CSGRANF","Granular Fine Cast Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74769"
"5853","Hyaline Casts","A measurement of the hyaline casts present in a biological specimen.","C74770","CSHYAL","Hyaline Cast Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74770"
"5854","Hyalogranular Casts","A measurement of the hyalogranular casts in a biological specimen.","C174305","CSHYGR","Hyalogranular Casts","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C174305"
"5855","Mixed Casts","A measurement of the mixed (the cast contains a mixture of cell types) casts present in a biological specimen.","C74771","CSMIX","Mixed Cast Count","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74771"
"5856","Erythrocyte Casts;RBC Casts","A measurement of the red blood cell casts present in a biological specimen.","C74772","CSRBC","Red Blood Cell Cast Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74772"
"5857","Unclassified Casts","A measurement of the unclassifiable casts present in a biological specimen.","C74776","CSUNCLA","Unclassified Cast Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74776"
"5858","Waxy Casts","A measurement of the waxy casts present in a biological specimen.","C74777","CSWAX","Waxy Cell Cast Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74777"
"5859","WBC Casts","A measurement of the white blood cell casts present in a biological specimen.","C74778","CSWBC","White Blood Cell Cast Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74778"
"5860","Circulating Tumor Cells","A measurement of the circulating tumor cells in a biological specimen.","C96593","CTC","Circulating Tumor Cell Count","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C96593"
"5861","Citalopram","A measurement of the citalopram present in a biological specimen.","C147327","CTLPRM","Citalopram Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147327"
"5862","Complement Total;Total Hemolytic Complement","A measurement of the total complement in a biological specimen.","C80160","CTOT","Complement Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C80160"
"5863","C-Terminal Telopeptide of Type I Collagen;Type I Collagen C-Telopeptides;Type I Collagen X-linked C-telopeptide","A measurement of the type I collagen cross-linked C-telopeptides in a biological specimen.","C82038","CTXI","Type I Collagen C-Telopeptide Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C82038"
"5864","Type I Collagen C-Telopeptides/Creat;Type I Collagen X-Linked C-Telopeptides/Creatinine","A relative measurement (ratio or percentage) of the type I collagen cross-linked C-telopeptides to creatinine in a biological specimen.","C127613","CTXICRT","Type I Collagen C-Telopeptide to Creatinine Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C127613"
"5865","Type II Collagen C-Telopeptides;Type II Collagen X-Linked C-Telopeptides","A measurement of the type II collagen cross-linked C-telopeptides in a biological specimen.","C82040","CTXII","Type II Collagen C-Telopeptide Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C82040"
"5866","Type II Collagen C-Telopeptides/Creat;Type II Collagen X-Linked C-Telopeptides/Creatinine","A relative measurement (ratio or percentage) of the type II collagen cross-linked C-telopeptides to creatinine in a biological specimen.","C122113","CTXIICRT","Type II Collagen C-Telopeptides to Creatinine Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C122113"
"5867","Chemokine (C-X3-C motif) Ligand 1;Fractalkine;Neurotactin","A measurement of the chemokine (C-X3-C motif) ligand 1 in a biological specimen.","C161361","CX3CL1","Chemokine (C-X3-C Motif) Ligand 1 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C161361"
"5868","Chemokine (C-X-C Motif) Ligand 1;GRO Alpha;GRO/KC;Melanoma Growth Stimulating Activity, Alpha","A measurement of the CXCL1, chemokine (C-X-C motif) ligand 1, in a biological specimen.","C128952","CXCL1","Chemokine (C-X-C Motif) Ligand 1 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C128952"
"5869","Chemokine (C-X-C Motif) Ligand 10;Interferon Gamma-induced Protein 10;IP-10;Small-inducible Cytokine B10","A measurement of the CXCL10, chemokine (C-X-C motif) ligand 10, in a biological specimen.","C112238","CXCL10","Chemokine (C-X-C Motif) Ligand 10 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C112238"
"5870","Chemokine (C-X-C Motif) Ligand 11;I-TAC;IFN-inducible T Cell Alpha Chemoattractant;ITAC","A measurement of the chemokine (C-X-C motif) ligand 11 in a biological specimen.","C161360","CXCL11","Chemokine (C-X-C Motif) Ligand 11 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C161360"
"5871","Chemokine (C-X-C Motif) Ligand 12;IRH;PBSF;SCYB12;SDF1;SDF1A;SDF1B;Stromal Cell-Derived Factor-1 Alpha;Stromal Cell-Derived Factor-1 Beta;TLSF;TPAR1","A measurement of the CXCL12, chemokine (C-X-C motif) ligand 12, in a biological specimen.","C165954","CXCL12","Chemokine (C-X-C Motif) Ligand 12 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C165954"
"5872","B Lymphocyte Chemoattractant;Chemokine (C-X-C Motif) Ligand 13","A measurement of the CXCL13, chemokine (C-X-C motif) ligand 13, in a biological specimen.","C147328","CXCL13","Chemokine (C-X-C Motif) Ligand 13 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147328"
"5873","Chemokine (C-X-C Motif) Ligand 3;GRO Gamma;Macrophage Inflammatory Protein 2-Beta;MIP2 Beta;MIP2B","A measurement of the CXCL3, chemokine (C-X-C motif) ligand 3, in a biological specimen.","C147329","CXCL3","Chemokine (C-X-C Motif) Ligand 3 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147329"
"5874","Chemokine (C-X-C Motif) Ligand 4;Oncostatin A;Platelet Factor 4;PLF4","A measurement of the CXCL4, chemokine (C-X-C motif) ligand 4, in a biological specimen.","C147330","CXCL4","Chemokine (C-X-C Motif) Ligand 4 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147330"
"5875","Chemokine (C-X-C Motif) Ligand 6;GCP2;Granulocyte Chemotactic Protein 2","A measurement of the CXCL6, chemokine (C-X-C motif) ligand 6, in a biological specimen.","C130159","CXCL6","Chemokine (C-X-C Motif) Ligand 6 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C130159"
"5876","B-TG1;Beta-TG;Chemokine (C-X-C Motif) Ligand 7;CTAP-III;CTAP3;CTAPIII;LA-PF4;LDGF;MDGF;NAP-2;Neutrophil-Activating Peptide 2;PBP;PPBP;Pro-Platelet Basic Protein;SCYB7;TC1;TC2;TGB;TGB1;THBGB;THBGB1","A measurement of the pro-platelet basic protein in a biological specimen.","C165955","CXCL7","Chemokine (C-X-C Motif) Ligand 7 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C165955"
"5877","Chemokine (C-X-C Motif) Ligand 9;CMK;crg-10;Humig;MIG;SCYB9","A measurement of the CXCL9, chemokine (C-X-C motif) ligand 9, in a biological specimen.","C165956","CXCL9","Chemokine (C-X-C Motif) Ligand 9 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C165956"
"5878","CD183;Chemokine (C-X-C Motif) Receptor 3;CXCR3;GPR9","A measurement of the CXCR3, chemokine (C-X-C motif) receptor 3, in a biological specimen.","C100431","CXCR3","Chemokine Receptor CXCR3 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C100431"
"5879","Acid Ammonium Urate Crystals;Ammonium Biurate Crystals;Ammonium Urate Crystals","A measurement of the ammonium biurate crystals present in a biological specimen.","C105590","CYAMMBIU","Ammonium Biurate Crystals Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C105590"
"5880","Ammonium Oxalate Crystals","A measurement of the ammonium oxalate crystals present in a urine specimen.","C74759","CYAMMOX","Urine Ammonium Oxalate Crystal Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74759"
"5881","Amorphous Crystals","A measurement of the amorphous (Note: phosphate or urate, depending on pH) crystals present in a biological specimen.","C74665","CYAMORPH","Amorphous Crystal Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74665"
"5882","Amorphous Phosphate Crystals","A measurement of the amorphous phosphate crystals in a biological specimen.","C92243","CYAMPPH","Amorphous Phosphate Crystals Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C92243"
"5883","Amorphous Urate Crystals","A measurement of the amorphous urate crystals in a biological specimen.","C92244","CYAMPURT","Amorphous Urate Crystals Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C92244"
"5884","Bilirubin Crystals","A measurement of the bilirubin crystals present in a biological specimen.","C74668","CYBILI","Bilirubin Crystal Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74668"
"5885","Calcium Carbonate Crystals","A measurement of the calcium carbonate crystals present in a biological specimen.","C74669","CYCACAR","Calcium Carbonate Crystal Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74669"
"5886","Calcium Oxalate Crystals","A measurement of the calcium oxalate crystals present in a biological specimen.","C74670","CYCAOXA","Calcium Oxalate Crystal Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74670"
"5887","Calcium Phosphate Crystals","A measurement of the calcium phosphate crystals present in a biological specimen.","C74671","CYCAPHOS","Calcium Phosphate Crystal Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74671"
"5888","Calcium Sulfate Crystals","A measurement of the calcium sulfate crystals present in a biological specimen.","C124340","CYCASULF","Calcium Sulfate Crystals Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C124340"
"5889","Cholesterol Crystals","A measurement of the cholesterol crystals present in a biological specimen.","C74672","CYCHOL","Cholesterol Crystal Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74672"
"5890","Cystine Crystals","A measurement of the cystine crystals present in a biological specimen.","C74674","CYCYSTIN","Cystine Crystal Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74674"
"5891","Dicalcium Phosphate Crystals","A measurement of dicalcium phosphate crystals in a biological specimen.","C135407","CYDCPHOS","Dicalcium Phosphate Crystals Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C135407"
"5892","Drug Crystals","A measurement of the drug crystals in a biological specimen.","C156533","CYDRUG","Drug Crystal Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C156533"
"5893","Cytokeratin 18 Fragment","A measurement of the cytokeratin 18 fragment in a biological specimen.","C130160","CYFRA18","Cytokeratin 18 Fragment Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C130160"
"5894","CYFRA21-1;Cytokeratin 19 Fragment 21-1","A measurement of the cytokeratin 19 fragment 21-1 in a biological specimen.","C106514","CYFRA211","Cytokeratin 19 Fragment 21-1 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C106514"
"5895","Hemoglobin C Crystals","A measurement of hemoglobin C crystals in a biological specimen.","C112288","CYHGBC","Hemoglobin C Crystals Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C112288"
"5896","Hippurate Crystals;Hippuric Acid Crystals","A measurement of the hippuric acid crystals present in a biological specimen.","C74754","CYHIPPAC","Hippuric Acid Crystal Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74754"
"5897","Leucine Crystals","A measurement of the leucine crystals present in a biological specimen.","C74680","CYLEUC","Leucine Crystal Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74680"
"5898","Monosodium Urate Crystals;Sodium Urate Crystals","A measurement of the monosodium urate crystals present in a biological specimen.","C74681","CYMSU","Monosodium Urate Crystal Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74681"
"5899","Cytochrome P450 2C9","A measurement of the cytochrome P450 2C9 enzyme in a biological specimen.","C161355","CYP2C9","Cytochrome P450 2C9 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C161355"
"5900","Phosphate Crystals","A measurement of the total phosphate crystals in a biological specimen.","C174304","CYPHOS","Phosphate Crystals Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C174304"
"5901","Cystatin C/Creatinine","A relative measurement (ratio or percentage) of the cystatin C to creatinine present in a sample.","C106513","CYSCREAT","Cystatin C to Creatinine Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C106513"
"5902","Starch Crystals;Starch Granules","A measurement of the starch crystals in a biological specimen.","C81951","CYSTARCH","Starch Crystal Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C81951"
"5903","Cystatin C","A measurement of the cystatin C in a biological specimen.","C92290","CYSTATC","Cystatin C Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C92290"
"5904","Cysteine","A measurement of the cysteine in a biological specimen.","C172518","CYSTEINE","Cysteine Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C172518"
"5905","Cystathionine","A measurement of the cystathionine in a biological specimen.","C147331","CYSTHION","Cystathionine Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147331"
"5906","Cystine","A measurement of the cystine in a biological specimen.","C105441","CYSTINE","Cystine Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C105441"
"5907","Sulfa Crystals;Sulfonamide Crystals","A measurement of the sulfa crystals present in a biological specimen.","C74755","CYSULFA","Sulfa Crystal Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74755"
"5908","Ammonium Magnesium Phosphate Crystals;Struvite Crystals;Triple Phosphate Crystals","A measurement of the triple phosphate crystals present in a biological specimen.","C74756","CYTRPHOS","Triple Phosphate Crystal Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74756"
"5909","Tyrosine Crystals","A measurement of the tyrosine crystals present in a biological specimen.","C74683","CYTYRO","Tyrosine Crystal Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74683"
"5910","Unclassified Crystals","A measurement of the unclassifiable crystals present in a biological specimen.","C74757","CYUNCLA","Unclassified Crystal Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74757"
"5911","Uric Acid Crystals","A measurement of the uric acid crystals (including acid urate and urate crystals) present in a biological specimen.","C74684","CYURIAC","Uric Acid Crystal Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74684"
"5912","5-Aminolevulinic Acid;5ALA;dALA;Delta Aminolevulinate;Delta Aminolevulinic Acid","A measurement of the delta aminolevulinic acid in a biological specimen.","C156537","DALA","Delta Aminolevulinate Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C156537"
"5913","Delta Aminolevulinate/Creatinine","A relative measurement (ratio or percentage) of the delta aminolevulinate to creatinine in a biological specimen.","C156538","DALACRT","Delta Aminolevulinate to Creatinine Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C156538"
"5914","Deoxycholate;Deoxycholic Acid","A measurement of the deoxycholate in a biological specimen.","C172500","DCA","Deoxycholate Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C172500"
"5915","C10;Decanoylcarnitine","A measurement of the decanoylcarnitine in a biological specimen.","C156536","DCCARNIT","Decanoylcarnitine Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C156536"
"5916","D-Dimer","A measurement of the d-dimers in a biological specimen.","C82621","DDIMER","D-Dimer Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C82621"
"5917","Anti-Double Stranded DNA IgG","A measurement of the double stranded DNA IgG antibody in a biological specimen.","C154769","DDNAIGAB","Anti-Double Stranded DNA IgG Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C154769"
"5918","DEAD Box Protein 58;DExD/H-Box Helicase 58;Probable ATP-Dependent RNA Helicase DDX58","A measurement of the DEAD box protein 58 in a biological specimen.","C163428","DDX58","DEAD Box Protein 58 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C163428"
"5919","DCN;Decorin","A measurement of the decorin in a biological specimen.","C172512","DECORIN","Decorin Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C172512"
"5920","Density","A measurement of the compactness of a biological specimen expressed in mass per unit volume.","C45781","DENSITY","Density","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C45781"
"5921","Diethylpropion","A measurement of the diethylpropion in a biological specimen.","C184614","DETHPRPN","Diethylpropion Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C184614"
"5922","DNA Fragmentation Index","A measurement of the deoxyribonucleic acid fragmentation within the nucleated cells of a biological specimen.","C135408","DFI","DNA Fragmentation Index","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C135408"
"5923","Degenerated Leukocytes;Degenerated WBC;Degenerated White Blood Cells","A measurement of the degenerated leukocytes (leukocytes that show deterioration in form or function) in a biological specimen.","C111190","DGNWBC","Degenerated Leukocyte Count","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C111190"
"5924","Dehydroepiandrosterone;Dehydroisoandrosterone","A measurement of the dehydroepiandrosterone hormone in a biological specimen.","C74852","DHEA","Dehydroepiandrosterone Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74852"
"5925","Dehydroepiandrosterone Sulfate;DHEA Sulfate;DHEA-S;sDHEA","A measurement of the sulfated Dehydroepiandrosterone in a biological specimen.","C96629","DHEAS","Sulfated DHEA Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C96629"
"5926","3,4-Dihydroxyphenylglycol;3.4 Dihydroxyphenylglycol","A measurement of the catecholamine metabolite, 3,4-Dihydroxyphenylglycol in a biological specimen.","C101017","DHPG","3,4-Dihydroxyphenylglycol Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C101017"
"5927","Androstanalone;Dihydrotestosterone","A measurement of the dihydrotestosterone hormone in a biological specimen.","C74853","DHT","Dihydrotestosterone Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74853"
"5928","Dihydrocodeine","A measurement of the dihydrocodeine present in a biological specimen.","C74878","DIHYDCDN","Dihydrocodeine Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74878"
