"id","alt_label","definition","identifier","notation","pref_label","uri"
"7718","Centigray","The metric unit of absorbed radiation dose equal to the absorption of one hundredth of joule of radiation energy per kilogram of matter.","C64693","cGy","Centigray","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C64693"
"7719","Curie","A unit of radioactivity defined as 3.7 E10 atomic disintegrations or other nuclear transformations per second. One Curie is equal to 37 gigabecquerels.(NCI)","C48466","Ci","Curie","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C48466"
"7720","Curie per Gram;mCi/mg;Microcurie per Microgram;Millicurie per Milligram;uCi/ug","A unit of specific radioactivity (massic activity) equal to activity of one Curie of the sample with total mass of one gram.(NCI)","C70528","Ci/g","Curie per Gram","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C70528"
"7721","Curie per Kilogram;mCi/g;Microcurie per Milligram;Millicurie per Gram;uCi/mg","A unit of specific radioactivity (massic activity) equal to activity of one Curie of the sample with total mass of one kilogram.(NCI)","C70529","Ci/kg","Curie per Kilogram","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C70529"
"7722","Curie per Liter;Microcurie per Microliter;uCi/uL","A unit of volumetric radioactivity concentration defined as a concentration of a radionuclide with an activity equal to one Curie per unit volume equal to one liter.(NCI)","C71170","Ci/L","Curie per Liter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C71170"
"7723","Curie per Milligram;mCi/ug;Millicurie per Microgram","A unit of specific radioactivity (massic activity) equal to activity of one Curie of the sample with total mass of one milligram.(NCI)","C70531","Ci/mg","Curie per Milligram","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C70531"
"7724","Curie per Milliliter","A unit of volumetric radioactivity concentration defined as a concentration of a radionuclide with an activity equal to one Curie per unit volume equal to one milliliter.(NCI)","C71172","Ci/mL","Curie per Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C71172"
"7725","Ci/mcg;Curie per Microgram","A unit of specific radioactivity (massic activity) equal to activity of one Curie of the sample with total mass of one microgram.(NCI)","C70530","Ci/ug","Curie per Microgram","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C70530"
"7726","Ci/mcL;Curie per Microliter","A unit of volumetric radioactivity concentration defined as a concentration of a radionuclide with an activity equal to one Curie per unit volume equal to one millionth of a liter.(NCI)","C71171","Ci/uL","Curie per Microliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C71171"
"7727","Cigar Dosing Unit","A dosing measurement based on the cigar unit.","C116244","CIGAR","Cigar Dosing Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C116244"
"7728","Cigarette Dosing Unit","A dosing measurement based on the cigarette unit.","C116245","CIGARETTE","Cigarette Dosing Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C116245"
"7729","Centiliter","The unit of volume equal to one hundredth of a liter or 10 milliliters or 10 cubic centimeters or 0.6102 cubic inch.","C69087","cL","Centiliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C69087"
"7730","","A unit of pressure defined by a column of water with a height of one centimeter, frequently used to measure central venous pressure, intracranial pressure, and for pressures during mechanical ventilation.","C91060","cm H2O","Centimeters of Water","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C91060"
"7731","Centimeter","A basic unit of length equal to one hundredth of a meter or approximately 0.393700787 inch.","C49668","cm","Centimeter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C49668"
"7732","Centimeters per Minute","A unit of both speed (scalar) and velocity (vector), defined as the distance of one centimeter travelled per unit time equal to one minute. (NCI)","C105481","cm/min","Centimeter Per Minute","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C105481"
"7733","cm/sec","A unit of both speed (scalar) and velocity (vector), defined as the distance of one centimeter travelled per unit time equal to one second. (NCI)","C102406","cm/s","Centimeter per Second","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C102406"
"7734","Square Centimeter","A unit of area measurement equal to a square measuring one centimeter on each side. One square centimeter is equal to 1E-4 square meter. (NCI)","C48460","cm2","Square Centimeter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C48460"
"7735","","A unit of pressure defined as centimeters of water times seconds per unit of volume equal to one milliliter.","C135518","cmH2O*s/mL","Centimeter of Water Times Second per Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C135518"
"7736","","A unit of pressure defined as centimeters of water times seconds squared per unit of volume equal to one milliliter.","C135519","cmH2O*s2/mL","Centimeter of Water Times Second Squared per Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C135519"
"7737","","A unit of pressure defined as centimeters of water per unit of volume equal to one milliliter.","C135520","cmH2O/mL","Centimeter of Water per Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C135520"
"7738","Centimeter of Mercury","A unit of pressure equal to 0.001316 atmosphere and equal to the pressure indicated by one centimeter rise of mercury in a barometer at the Earth's surface.","C147129","cmHg","Centimeters of Mercury","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C147129"
"7739","Centimole","A unit of amount of substance equal to one hundredth of a mole (1E-2 mole). (NCI)","C68687","cmol","Centimole","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C68687"
"7740","Millimoles per Deciliter;mmol/dL","A unit of concentration (molarity unit) equal to one centimole of solute in one liter of solution. (NCI)","C68886","cmol/L","Centimole per Liter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C68886"
"7741","Coat Dosing Unit","A dosing measurement based on the coat unit.(NCI)","C48483","COAT","Coat Dosing Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C48483"
"7742","Container Dosing Unit","A dosing measurement based on the container unit.(NCI)","C48484","CONTAINER","Container Dosing Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C48484"
"7743","","A unit of concentration expressed as a number of copies per unit volume equal to one milliliter.","C100900","copies/mL","Copies per Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C100900"
"7744","","A unit of concentration expressed as a number of copies per unit volume equal to one microgram.","C126079","copies/ug","Copies per Microgram","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C126079"
"7745","","A unit of concentration expressed as a number of copies per unit volume equal to one microliter.","C116237","copies/uL","Copies per Microliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C116237"
"7746","Coulomb","A unit of quantity of electricity, equal to the quantity of charge transferred in one second across a conductor in which there is a constant current of one Ampere.(NCI)","C42550","Coulomb","Coulomb","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C42550"
"7747","Centipoise","A unit of dynamic viscosity equal to one hundredth of a poise.","C69092","cP","Centipoise","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C69092"
"7748","Counts per Minute","A unit of frequency expressed as the detection rate of ionization events per minute.","C73688","cpm","Count per Minute","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C73688"
"7749","10^-2 sec;Centisecond;csec","A unit of time equal to one hundredth of a second (1E-2 seconds). (NCI)","C105482","cs","Centisecond","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C105482"
"7750","Cup Equivalent;cup-eq","A unit of relative amount of a substance equal to one cup.","C172604","cup eq","Cup Equivalent","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C172604"
"7751","Cup Dosing Unit","A dosing measurement based on the cup unit.(NCI)","C54703","CUP","Cup Dosing Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C54703"
"7752","cpcm;Grating Cycles per Centimeter","A unit of measure for the number of repeating vertical or horizontal bars per unit of length equal to one centimeter on a visual acuity testing card.","C114242","cy/cm","Grating Cycles per Centimeter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C114242"
"7753","Cycle per Minute","A unit of frequency equal to the frequency at which one complete execution of a periodically repeated phenomenon, alternation, event, or sequence of events occurs per unit of time equal to one minute.(NCI)","C71176","cycle/min","Cycle per Minute","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C71176"
"7754","Cylinder Dosing Unit","A dosing measurement based on the cylinder unit.(NCI)","C48489","CYLINDER","Cylinder Dosing Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C48489"
"7755","D Antigen Unit","A unit of potency of poliovirus vaccine used for poliomyelitis prevention. The unit is poliovirus type-specific.(NCI)","C70501","DAgU","D Antigen Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C70501"
"7756","D Antigen Unit per Milliliter","A unit of potency of poliovirus vaccine expressed as a number of D antigen units per one milliliter of vaccine formulation.(NCI)","C70502","DAgU/mL","D Antigen Unit per Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C70502"
"7757","Decamole per Liter;mol/dL;Moles per Deciliter","A unit of concentration (molarity unit) equal to one decamole of solute in one liter of solution. (NCI)","C105483","damol/L","Decamole Per Liter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C105483"
"7758","","A unit of measurement of time equal to 24 hours.","C25301","DAYS","Day","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C25301"
"7759","","A unit of measurement equal to the number of days within a period of time equal to one month.","C170634","days/month","Days Per Month","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C170634"
"7760","days/week","A unit of measurement equal to the number of days within a period of time equal to one week.","C170633","days/wk","Days Per Week","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C170633"
"7761","Decibel","A unit of measure representing the intensity of an electrical signal or sound which is equal to ten times the logarithm of the ratio of two signals.","C102407","dB","Decibel","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C102407"
"7762","","A unit of measure for the concentration of fibrin degradation products in a sample, calculated based upon the mass of D-dimers contained within that sample. (NCI)","C161494","DDU","D-Dimer Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C161494"
"7763","Degree Unit of Plane Angle","A unit of plane angle measurement equal to the length of the arc cut out by the angle, divided by the circumference of the circle, and multiplied by 360. The symbol for degrees is a small superscript circle. One radian is about 57 degrees and one degree is pi/180 radians.(NCI)","C68667","deg","Degree Unit of Plane Angle","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C68667"
"7764","","A unit of rotation expressed as the number of degrees per unit of length equal to one millimeter.","C161488","deg/mm","Degree Per Millimeter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C161488"
"7765","","A unit of angular velocity defined as the number of degrees per unit of time equal to one second.","C166097","deg/s","Degrees Per Second","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C166097"
"7766","sq. deg.","A unit of solid angle equal to approximately 3.0462x10^-4 steradians.","C166098","deg2","Degrees Squared","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C166098"
"7767","Diopter","A unit of measurement of the optical power of a curved mirror or lens represented by the inverse of the focal length in meters.","C100899","DIOPTER","Diopter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C100899"
"7768","Dip Dosing Unit;Snuff Dosing Unit","A dosing measurement based on the dip unit.","C82483","DIP","Dip Dosing Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C82483"
"7769","Disk Dosing Unit","A dosing measurement based on the disk unit.(NCI)","C48490","DISK","Disk Dosing Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C48490"
"7770","Deciliter","The unit of volume equal to one tenth of a liter. Accepted for use with the SI. (NCI)","C64697","dL","Deciliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C64697"
"7771","Decimole","A unit of amount of substance equal to one tenth of a mole (1E-1 mole). (NCI)","C68685","dmol","Decimole","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C68685"
"7772","DNA Copies per Milliliter","The unit of concentration of deoxyribonucleic acid (DNA) copies expressed as a number of copies in unit volume equal to one milliliter.","C98719","DNA copies/mL","DNA Copies per Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C98719"
"7773","","A unit of measurement equal to the number of deoxyribonucleic acid (DNA) copies per unit of mass equal to one microgram.","C170632","DNA copies/ug","DNA Copies Per Microgram","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C170632"
"7774","Disintegrations per Minute","A unit of radioactive decay expressed in atoms of radioactive material that decay over a period of time equal to sixty seconds. (NCI)","C73710","DPM","Disintegration per Minute","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C73710"
"7775","Disintegrations per Minute per 0.5 Milliliter","A unit of radioactive decay expressed in atoms of radioactive material that decay over a period of time equal to sixty seconds in a volume unit equal to a half milliliter.","C120846","dpm/0.5 mL","Disintegrations per Minute per 0.5 Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C120846"
"7776","Disintegrations per Minute per 100 milligrams;dpm/cg","A unit of radioactive decay expressed in atoms of radioactive material that decay over a period of time equal to sixty seconds in a mass unit equal to one hundred milligrams.","C117968","dpm/100mg","Disintegration per Minute per 100 milligrams","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C117968"
"7777","Disintegrations per Minute per Milligram","A unit of radioactive decay expressed in atoms of radioactive material that decay over a period of time equal to sixty seconds in a mass unit equal to one milligram.","C117969","dpm/mg","Disintegration per Minute per Milligram","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C117969"
"7778","Disintegrations per Minute per Milliliter","A unit of radioactive decay expressed in atoms of radioactive material that decay over a period of time equal to sixty seconds in a volume unit equal to one milliliter.","C117970","dpm/mL","Disintegration per Minute per Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C117970"
"7779","Dram","A unit of mass equal to 1/16 Avoirdupois ounce or 1/256 Avoirdupois pound. One dram equals approximately 1.7718451953125 grams.(NCI)","C64564","dram","Dram Mass Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C64564"
"7780","Drink Dosing Unit","A dosing measurement based on the drink unit.","C161487","DRINK","Drink Dosing Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C161487"
"7781","Drip","A unit of measure of volume defined as the amount of liquid dispensed as one drop from a dropper dispenser. The volume of a drop depends on the physical properties of the liquid dispensed, the dispenser device, and the technique used to produce the drop. (NCI)","C69441","DROP","Drop","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C69441"
"7782","Drum Dosing Unit","A dosing measurement based on the drum unit.(NCI)","C48492","DRUM","Drum Dosing Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C48492"
"7783","Dyne","A unit of force defined as the force that accelerates a mass of one gram at the rate of one centimeter per second squared. One dyne is equal to 1E-5 Newton and 2.248E-6 pounds of force. (NCI)","C70470","dyn","Dyne","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C70470"
"7784","Electrochemiluminescence Unit","A unit for measuring concentration or/and reactivity of a test substance as defined in the literature reference standard for the particular quantitative electrochemiluminescent method. (NCI)","C161491","ECL unit","Electrochemiluminescence Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C161491"
"7785","EIA value;Enzyme Immunoassay Unit","A unit for measuring concentration or/and reactivity of a test substance (an antigen or antibody of interest) as defined in the literature reference standard for the particular quantitative enzyme immunoassay method.","C122205","EIA unit","Enzyme Immunoassay Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C122205"
"7786","50 Percent Embryo Infective Dose per Dose","A potency unit for measuring infectious activity of a biologic product or an infectious agent preparation equal to the potency at which one dose of infectious material contains one 50 percent embryo infective dose.(NCI)","C70533","EID 50/dose","50 Percent Embryo Infective Dose per Dose","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C70533"
"7787","50 Percent Embryo Infective Dose per Milliliter","A potency unit equal to the potency at which one milliliter of preparation contains one 50 percent embryo infective dose.","C120847","EID 50/mL","50 Percent Embryo Infective Dose per Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C120847"
"7788","","A unit of volume equal to the amount of seminal fluid produced by a single ejaculation event.","C130046","Ejaculate U","Ejaculate Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C130046"
"7789","Enzyme-Linked Immunosorbent Assay Unit","A unit for measuring concentration or/and reactivity of a test substance (an antigen or antibody of interest) as defined in the literature reference standard for the particular quantitative enzyme-linked immunosorbent assay method. The enzyme-linked immunosorbent assay unit is used to express potency of immunologically active substances and products, e.g. vaccines.(NCI)","C68875","ELISA unit","Enzyme-Linked Immunosorbent Assay Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C68875"
"7790","Enzyme-Linked Immunosorbent Assay Unit per Dose","A unit for measuring potency of immunologically active substance in a product determined as reactivity in a quantitative immunoassay for particular antigen or antibody and expressed per quantity of preparation used as a single dose.(NCI)","C68876","ELISA unit/dose","Enzyme-Linked Immunosorbent Assay Unit per Dose","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C68876"
"7791","Enzyme-Linked Immunosorbent Assay Unit per Milliliter","A unit for measuring potency of immunologically active substance in a product determined as reactivity in a quantitative immunoassay for particular antigen or antibody and expressed per unit volume equal to one milliliter.(NCI)","C68877","ELISA unit/mL","Enzyme-Linked Immunosorbent Assay Unit per Milliliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C68877"
"7792","Enzyme Unit","A unit of catalytic activity measurement defined as the quantity of a particular enzyme that catalyzes the transformation of one micromole of the substrate per minute under standard conditions for specified assay system.","C64778","Enzyme U","Enzyme Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C64778"
"7793","Enzyme Unit per Gram of Hemoglobin","A unit of concentration (biologic activity) equal to one enzyme unit of substance per gram of hemoglobin.","C154856","Enzyme U/g Hb","Enzyme Unit per Gram Hemoglobin","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C154856"
"7794","Enzyme Unit/L","Unit of catalytic activity concentration defined as activity equal to one enzyme unit per one liter of system volume.","C147130","Enzyme U/L","Enzyme Unit per Liter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C147130"
"7795","","A unit of concentration (catalytic activity) equal to one enzyme unit of substance per one square meter of surface area.","C156467","Enzyme U/m2","Enzyme Unit per Meter Squared","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C156467"
"7796","European Pharmacopoeia Unit","An arbitrary unit established by the European Pharmacopoeia.","C176384","EP U","European Pharmacopoeia Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C176384"
"7797","Equivalent Weight","A unit of relative amount of a substance that combines with or displaces 8.0 grams of oxygen or 1.008 gram of hydrogen. The unit is usually expressed in grams and is equal to the amount of substance that gains or loses one mole of electrons in a redox reaction, or to the amount of substances that releases or accepts one mole of hydrogen ions in a neutralization reaction; or to the amount of electrolyte that carries one mole of positive or negative charge. This is a large unit and measurements are more often done in its derivatives, e.g. in milliequivalents.(NCI)","C67273","eq","Equivalent Weight","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C67273"
"7798","Ehrlich Units;EU/dL","A unit of measure equal to one milligram of urobilinogen per deciliter.","C96599","EU","Ehrlich Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C96599"
"7799","","A unit of measurement for the number of specified occurrences.","C150901","EVENTS","Event Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C150901"
"7800","Degree Fahrenheit","The Fahrenheit temperature scale is named after the German physicist Gabriel Fahrenheit (1686-1736), who proposed it in 1724. In this scale, the freezing point of water is 32 degrees Fahrenheit and the boiling point is 212 degrees, placing the boiling and melting points of water 180 degrees apart. In this scale a degree Fahrenheit is 5/9ths of a Kelvin (or of a degree Celsius), and minus 40 degrees Fahrenheit is equal to minus 40 degrees Celsius. (NCI)","C44277","F","Degree Fahrenheit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C44277"
"7801","Farad","A unit of capacitance equal to the capacitance of a capacitor having an equal and opposite charge of one coulomb on each plate and a potential difference of one volt between the plates.(NCI)","C42552","Farad","Farad","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C42552"
"7802","Fibrinogen Equivalent Units","A unit of measure for the concentration of fibrin degradation products in a sample, calculated based upon the mass of fibrinogen contained within that sample.","C96649","FEU","Fibrinogen Equivalent Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C96649"
"7803","Focus-forming Units","A unit of measurement of the number of visible clusters of transformed or infected cells.","C75303","FFU","Focus Forming Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C75303"
"7804","Femtogram","A unit of mass equal to one quadrillionth of a gram (1E-15 gram). (NCI)","C64552","fg","Femtogram","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C64552"
"7805","Fingertip Dosing Unit","An arbitrary dosing unit used predominantly for semisolid topical formulations such as cream, ointment, paste, etc. One fingertip unit is the amount of a product that is squeezed out from a standard tube with 5-millimeter diameter nozzle along an adult's fingertip. A fingertip length is defined from the tip of the index finger to the first finger crease. A fingertip dosing unit varies with age and size of the body. The average fingertip unit is equal to approximately 0.5 gram for an adult male and 0.4 gram for an adult female.(NCI)","C71321","FINGERTIP UNIT","Fingertip Dosing Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C71321"
"7806","Fluorescence Intensity Unit;MFI","A unit of measure for the fluorescence intensity when the mathematic calculation is unspecified or unknown.","C163045","FIU","Fluorescence Intensity Unit","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C163045"
"7807","Cubic Micrometer;Cubic Micron;Femtoliter;um3","The unit of volume equal 1E-15 liter.","C64780","fL","Femtoliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C64780"
"7808","Femtomole","A unit of amount of substance equal to one quadrillionth of a mole (1E-15 mole). (NCI)","C68854","fmol","Femtomole","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C68854"
"7809","Femtomole per Gram","A molality unit that describes the amount of substance, expressed in femtomole(s) per gram. (NCI)","C73711","fmol/g","Femtomole per Gram","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C73711"
"7810","Femtomole per Liter","A unit of concentration (molarity unit) equal to one quadrillionth of a mole (1E-15 mole) of solute in one liter of solution. (NCI)","C68887","fmol/L","Femtomole per Liter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C68887"
"7811","Femtomoles per Liter per Second","A concentration unit equal to one femtomole of solute in one liter of solution per unit of time equal to one second. (NCI)","C122206","fmol/L/sec","Femtomole per Liter per Second","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C122206"
"7812","Fluid Ounce Imperial","A traditional unit of liquid volume equal in the British Imperial system to 1/20 pint, or 1.733871 cubic inches or 28.413063 milliliters.","C48577","foz_br","Fluid Ounce British","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C48577"
"7813","Fluid Ounce US","A traditional unit of liquid volume equal in the US customary system to 1/16 pint, or 1.804687 cubic inches or 29.573531 milliliters.","C48494","foz_us","Fluid Ounce US","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C48494"
"7814","Proportion of 1","A unit for expressing a percentage as a decimal whereby the total value is measured as a fraction of the numeric 1.","C105484","fraction of 1","Fraction of 1","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C105484"
"7815","F/s;FPS;Frames per Second;Frames/sec","A unit of measure equal to the number of visual frames per unit of time equal to one second. (NCI)","C106524","Frames/s","Frames Per Second","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C106524"
"7816","Foot","A unit of length defined by the U.S. National Bureau of Standards as 30.48 centimeters. It is equal to 0.3048 meter, 12 inches, or to approximately 0.999998 survey foot.(NCI)","C71253","ft","International Foot","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C71253"
"7817","Square Foot","A unit of area equal to 144 square inches, 929.0304 square centimeters, or 9.290304E-2 square meters.(NCI)","C48461","ft2","Square Foot","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C48461"
"7818","Standard Cubic Foot","A unit used in physical chemistry to express the amount of substance of an ideal gas in one cubic foot at 60 degrees Fahrenheit and pressure of one atmosphere.(NCI)","C68859","ft3","Standard Cubic Foot","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C68859"
"7819","Gram","A unit of mass equal to one thousandth (1E-3) of a kilogram, the kilogram being the base unit of mass in the International System of Units (SI).","C48155","g","Gram","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C48155"
"7820","Gram per Animal","A unit of measure expressed in gram(s) per animal.","C73713","g/animal","Gram per Animal","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C73713"
"7821","Gram per Animal per Day","A unit of measure expressed in gram(s) per animal per period of time equal to twenty-four hours.","C73714","g/animal/day","Gram per Animal per Day","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C73714"
"7822","Gram per Animal per Week","A unit of measure expressed in gram(s) per animal per period of time equal to seven days.","C73715","g/animal/wk","Gram per Animal per Week","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C73715"
"7823","Gram per Cage","A unit of measure expressed in gram(s) per cage.","C73716","g/cage","Gram per Cage","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C73716"
"7824","Gram per Cage per Day","A unit of measure expressed in gram(s) per cage per period of time equal to twenty-four hours.","C73717","g/cage/day","Gram per Cage per Day","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C73717"
"7825","Gram per Cage per Week","A unit of measure expressed in gram(s) per cage per period of time equal to seven days.","C73718","g/cage/wk","Gram per Cage per Week","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C73718"
"7826","Gram per Square Centimeter","A unit of area density defined as a spread rate at which one gram of a substance is spread over the area of one square centimeter. The unit is also used as a dose calculation unit.(NCI)","C71201","g/cm2","Gram per Square Centimeter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C71201"
"7827","g/24h","A unit of mass flow rate equal to one gram per day.","C67372","g/day","Gram per 24 Hours","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C67372"
"7828","g%;Gram per Deciliter","A unit of mass concentration defined as the concentration of one gram of a substance per unit volume of the mixture equal to one deciliter (100 milliliters). The concept also refers to the metric unit of mass density (volumic mass) defined as the density of substance which mass equal to one gram occupies the volume one deciliter.(NCI)","C64783","g/dL","Gram per Deciliter","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C64783"
"7829","kg/kg;mcg/mcg;mg/mg;ug/ug","A unit of a mass fraction expressed as a number of grams of substance per gram of mixture.","C70453","g/g","Gram per Gram","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C70453"
"7830","Gram per Gram per Day","A unit of measure expressed in gram(s) per gram per period of time equal to twenty-four hours.","C73720","g/g/day","Gram per Gram per Day","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C71620-C73720"
